iter	Passed	Remaining
407	5256	7627
408	5269	7614
409	5281	7600
410	5294	7587
411	5306	7572
412	5318	7559
413	5332	7548
414	5345	7534
415	5357	7521
416	5369	7507
417	5382	7494
418	5394	7480
419	5407	7466
420	5418	7452
421	5430	7438
422	5441	7422
423	5453	7409
424	5467	7397
425	5480	7384
426	5492	7370
427	5504	7356
428	5517	7343
429	5529	7329
430	5541	7316
431	5553	7302
432	5566	7289
433	5579	7276
434	5592	7264
435	5602	7247
436	5612	7230
437	5622	7213
438	5632	7197
439	5643	7182
440	5655	7168
441	5668	7156
442	5681	7143
443	5697	7134
444	5709	7121
445	5723	7109
446	5736	7096
447	5749	7084
448	5762	7071
449	5774	7058
450	5789	7047
451	5801	7033
452	5813	7020
453	5827	7007
454	5839	6994
455	5853	6982
456	5864	6967
457	5878	6956
458	5890	6943
459	5904	6931
460	5915	6916
461	5925	6900
462	5938	6887
463	5951	6874
464	5963	6861
465	5976	6848
466	5988	6834
467	5999	6820
468	6010	6804
469	6022	6791
470	6033	6776
471	6046	6763
472	6056	6747
473	6067	6733
474	6079	6719
475	6091	6705
476	6101	6690
477	6112	6674
478	6122	6659
479	6130	6641
480	6140	6626
481	6152	6612
482	6163	6597
483	6174	6582
484	6186	6569
485	6197	6554
486	6208	6539
487	6218	6524
488	6228	6508
489	6239	6493
490	6249	6478
491	6260	6464
492	6271	6449
493	6282	6434
494	6293	6420
495	6303	6404
496	6313	6390
497	6323	6373
498	6333	6358
499	6344	6344
500	6353	6328
501	6364	6313
502	6374	6298
503	6386	6284
504	6397	6270
505	6407	6255
506	6417	6240
507	6428	6226
508	6439	6211
509	6449	6197
510	6461	6183
511	6472	6168
512	6482	6154
513	6493	6140
514	6505	6126
515	6515	6111
516	6527	6098
517	6540	6085
518	6549	6070
519	6561	6057
520	6572	6042
521	6582	6027
522	6593	6013
523	6604	5999
524	6614	5984
525	6625	5970
526	6636	5956
527	6647	5942
528	6659	5929
529	6670	5915
530	6680	5900
531	6691	5886
532	6702	5872
533	6712	5858
534	6724	5844
535	6734	5830
536	6745	5816
537	6756	5802
538	6767	5788
539	6777	5773
540	6788	5759
541	6798	5745
542	6809	5730
543	6820	5716
544	6830	5702
545	6840	5688
546	6851	5674
547	6862	5660
548	6873	5646
549	6884	5632
550	6894	5618
551	6906	5605
552	6918	5592
553	6930	5579
554	6940	5565
555	6951	5551
556	6964	5539
557	6975	5525
558	6986	5511
559	6997	5497
560	7010	5485
561	7021	5472
562	7034	5459
563	7046	5447
564	7059	5434
565	7072	5422
566	7084	5410
567	7096	5397
568	7110	5386
569	7123	5373
570	7137	5362
571	7149	5349
572	7163	5338
573	7174	5324
574	7185	5311
575	7197	5298
576	7209	5285
577	7220	5271
578	7233	5259
579	7245	5246
580	7257	5233
581	7268	5220
582	7283	5209
583	7296	5197
584	7308	5184
585	7319	5171
586	7332	5159
587	7345	5146
588	7357	5133
589	7369	5121
590	7381	5108
591	7393	5095
592	7407	5084
593	7418	5070
594	7430	5057
595	7442	5045
596	7454	5032
597	7466	5019
598	7480	5007
599	7493	4995
600	7507	4984
601	7520	4971
602	7531	4958
603	7543	4945
604	7555	4933
605	7565	4919
606	7578	4906
607	7593	4895
608	7605	4882
609	7616	4869
610	7629	4857
611	7641	4844
612	7652	4831
613	7663	4817
614	7674	4804
615	7685	4790
616	7696	4777
617	7706	4763
618	7717	4749
619	7727	4736
620	7738	4723
621	7750	4710
622	7761	4696
623	7774	4684
624	7786	4671
625	7798	4659
626	7809	4645
627	7821	4633
628	7834	4621
629	7849	4609
630	7861	4597
631	7874	4585
632	7887	4573
633	7901	4561
634	7913	4548
635	7925	4536
636	7939	4524
637	7952	4512
638	7965	4500
639	7978	4488
640	7990	4475
641	8003	4462
642	8016	4450
643	8028	4438
644	8042	4426
645	8055	4414
646	8067	4401
647	8082	4390
648	8097	4379
649	8111	4367
650	8124	4355
651	8136	4342
652	8150	4330
653	8162	4318
654	8174	4305
655	8187	4293
656	8202	4282
657	8216	4270
658	8228	4257
659	8241	4245
660	8254	4233
661	8267	4221
662	8280	4208
663	8292	4196
664	8305	4183
665	8317	4171
666	8331	4159
667	8345	4147
668	8358	4135
669	8371	4123
670	8383	4110
671	8395	4097
672	8408	4085
673	8420	4072
674	8436	4061
675	8463	4056
676	8486	4049
677	8504	4039
678	8524	4029
679	8542	4019
680	8560	4009
681	8575	3998
682	8590	3986
683	8605	3975
684	8621	3964
685	8636	3953
686	8651	3941
687	8667	3930
688	8681	3918
689	8695	3906
690	8708	3894
691	8721	3881
692	8737	3870
693	8751	3858
694	8765	3846
695	8779	3834
696	8793	3822
697	8806	3810
698	8822	3799
699	8836	3787
700	8850	3774
701	8863	3762
702	8876	3750
703	8892	3738
704	8907	3727
705	8922	3715
706	8937	3704
707	8951	3691
708	8967	3680
709	8981	3668
710	8997	3657
711	9012	3645
712	9026	3633
713	9039	3621
714	9053	3608
715	9067	3596
716	9080	3584
717	9095	3572
718	9107	3559
719	9121	3547
720	9136	3535
721	9151	3523
722	9165	3511
723	9179	3499
724	9192	3486
725	9207	3474
726	9220	3462
727	9235	3450
728	9248	3438
729	9263	3426
730	9277	3413
731	9290	3401
732	9305	3389
733	9317	3376
734	9330	3364
735	9343	3351
736	9358	3339
737	9371	3326
738	9385	3314
739	9400	3302
740	9412	3289
741	9425	3277
742	9439	3265
743	9453	3252
744	9469	3241
745	9483	3228
746	9497	3216
747	9513	3204
748	9528	3193
749	9542	3180
750	9570	3173
751	9585	3161
752	9599	3148
753	9612	3136
754	9627	3124
755	9642	3112
756	9657	3099
757	9670	3087
758	9687	3075
759	9704	3064
760	9719	3052
761	9733	3040
762	9749	3028
763	9769	3017
764	9785	3005
765	9797	2993
766	9812	2980
767	9825	2968
768	9839	2955
769	9853	2943
770	9869	2931
771	9885	2919
772	9899	2907
773	9917	2895
774	9933	2883
775	9950	2872
776	9965	2860
777	9982	2848
778	9997	2836
779	10011	2823
780	10025	2811
781	10039	2798
782	10052	2785
783	10069	2774
784	10084	2762
785	10101	2750
786	10116	2737
787	10135	2726
788	10153	2715
789	10170	2703
790	10187	2691
791	10203	2679
792	10219	2667
793	10233	2655
794	10247	2642
795	10264	2630
796	10278	2617
797	10292	2605
798	10308	2593
799	10323	2580
800	10338	2568
801	10351	2555
802	10366	2543
803	10378	2530
804	10393	2517
805	10407	2505
806	10422	2492
807	10436	2479
808	10449	2466
809	10463	2454
810	10476	2441
811	10489	2428
812	10503	2416
813	10515	2402
814	10529	2390
815	10543	2377
816	10557	2364
817	10571	2352
818	10585	2339
819	10597	2326
820	10609	2313
821	10621	2300
822	10634	2287
823	10647	2274
824	10663	2261
825	10679	2249
826	10694	2237
827	10708	2224
828	10722	2211
829	10738	2199
830	10751	2186
831	10767	2174
832	10782	2161
833	10795	2148
834	10809	2135
835	10823	2123
836	10837	2110
837	10851	2097
838	10865	2084
839	10880	2072
840	10895	2059
841	10908	2047
842	10921	2034
843	10934	2021
844	10949	2008
845	10963	1995
846	10976	1982
847	10989	1969
848	11002	1956
